"long","lat","gravity"
-114.8815,46.0132,-195.71
-114.5177,46.0429,-187.2
-114.2259,46.0169,-196.73
-113.8342,46.0419,-206.76
-113.4311,46.0143,-211.49
-113.0589,46.0379,-235.9
-118.9928,46.1346,-66.01
-118.5625,46.1403,-75.98
-118.2175,46.1508,-91.52
-117.8638,46.1199,-150.16
-117.4805,46.1302,-115.86
-117.1309,46.1341,-92.27
-116.7929,46.1477,-115.83
-116.3305,46.1391,-117.11
-115.9839,46.1419,-123.75
-115.7323,46.1182,-145.52
-115.3493,46.1242,-169.4
-114.9424,46.1288,-185.53
-114.5572,46.1364,-193.02
-114.2258,46.1513,-191.16
-113.863,46.1325,-206.84
-113.5333,46.1341,-204.52
-113.0868,46.1173,-203.15
-118.9703,46.251,-66.32
-118.6276,46.2543,-83.76
-118.2058,46.2402,-97.49
-117.8676,46.245,-111.74
-117.4529,46.2278,-113.7
-117.1106,46.2489,-103.44
-116.7949,46.231,-101.48
-116.3517,46.2327,-121.43
-116.0994,46.254,-111.58
-115.6788,46.2344,-132.21
-115.2271,46.2253,-168.96
-114.9158,46.2651,-193.53
-114.5354,46.2329,-191.36
-114.2436,46.2546,-189.85
-113.7904,46.2643,-207.36
-113.4443,46.2265,-200.28
-113.042,46.2432,-200.41
-119.0147,46.3499,-73.01
-118.6356,46.361,-81.74
-118.1739,46.3678,-89.47
-117.8951,46.3416,-99.33
-117.4333,46.3533,-93.03
-117.1162,46.373,-99.54
-116.721,46.3551,-87.38
-116.3503,46.3619,-110.09
-116.0294,46.3707,-107.45
-115.6096,46.3726,-148.85
-115.2839,46.3321,-172
-114.9136,46.3377,-188.41
-114.4931,46.3717,-178.24
-114.2199,46.357,-192.03
-113.8525,46.349,-198.07
-113.4873,46.3642,-204.43
-113.0514,46.3402,-194.77
-118.956,46.4657,-73.84
-118.5188,46.4568,-80.26
-118.1751,46.4515,-86.53
-117.8334,46.4845,-95.39
-117.4144,46.4602,-87.38
-117.1411,46.472,-81.09
-116.7549,46.4788,-96.69
-116.3605,46.4777,-101.37
-116.0916,46.4526,-106.42
-115.6894,46.4819,-139.41
-115.2981,46.4484,-157.72
-114.9865,46.4469,-193.72
-114.5039,46.4618,-176.56
-114.1925,46.4759,-181.15
-113.8083,46.4546,-189.74
-113.5404,46.4734,-192.04
-113.1462,46.4658,-175.82
-119.0409,46.5808,-76.67
-118.597,46.6092,-75.83
-118.2212,46.578,-82.42
-117.8691,46.5835,-89.62
-117.5062,46.5807,-85.71
-117.2389,46.6067,-78.33
-116.8516,46.5602,-91.88
-116.4413,46.5855,-97.61
-116.0041,46.5921,-104.86
-115.5635,46.592,-119.77
-115.3141,46.5931,-144.48
-115.0264,46.5849,-177.62
-114.5932,46.5878,-180.03
-114.1905,46.5674,-175.56
-113.8271,46.5844,-186.22
-113.4813,46.5846,-193.5
-113.1379,46.5698,-182.2
