"easting" "northing" "band1" "band2" "band3" "band4" "band5" "band6" "band7"
15 10 86 39 44 79 107 128 48
15 11 85 42 43 81 107 127 46
15 12 87 41 44 78 105 127 47
15 13 83 39 43 76 103 127 44
15 14 80 39 41 79 98 127 43
15 15 77 35 35 85 92 128 37
15 16 75 32 29 93 90 128 32
15 17 74 32 28 99 93 128 32
15 18 72 32 29 101 91 129 31
15 19 73 33 29 96 89 128 32
15 20 77 34 35 80 91 128 38
15 21 82 36 38 73 91 127 38
15 22 77 34 37 67 76 125 33
15 23 76 32 33 71 66 125 29
15 24 74 31 30 72 63 125 28
15 25 73 29 27 70 45 124 19
15 26 66 25 22 43 34 118 14
15 27 67 24 22 43 36 118 15
15 28 67 24 21 41 42 118 16
15 29 67 25 24 45 55 121 22
15 30 70 26 27 51 61 124 25
16 1 83 38 43 71 100 132 45
16 2 84 38 44 73 106 131 47
16 3 85 38 45 71 103 128 47
16 4 85 38 43 76 105 128 45
16 5 84 38 43 78 105 128 45
16 6 84 37 41 80 104 128 45
16 7 85 38 43 77 104 128 45
16 8 86 40 45 78 105 128 47
16 9 85 39 44 79 108 128 47
16 10 87 39 44 81 109 128 48
16 11 86 41 45 80 106 127 46
16 12 84 41 44 80 103 127 46
16 13 83 39 44 76 107 127 46
16 14 85 40 41 81 106 127 44
16 15 81 36 37 87 98 128 36
16 16 77 33 30 91 91 128 34
16 17 76 32 28 92 90 128 32
16 18 75 31 28 91 88 127 32
16 19 74 32 31 87 87 126 34
16 20 79 34 36 79 92 126 38
16 21 83 35 38 75 92 126 37
16 22 80 34 36 72 87 125 35
16 23 78 33 34 75 86 125 35
16 24 76 33 33 84 88 125 35
16 25 76 33 31 83 66 125 25
16 26 67 26 23 46 37 118 15
16 27 66 25 22 43 35 118 14
16 28 65 25 21 41 40 119 17
16 29 66 25 24 45 54 120 22
16 30 70 27 28 51 64 125 27
17 1 83 38 43 69 101 130 45
17 2 84 38 45 72 102 130 46
17 3 84 38 45 72 101 128 47
17 4 86 39 44 76 104 128 44
17 5 85 39 44 76 103 128 44
17 6 84 38 41 79 101 128 43
17 7 85 37 42 77 103 128 45
17 8 85 40 45 79 107 128 47
17 9 86 40 45 80 109 128 48
17 10 84 39 44 80 109 128 47
17 11 86 40 44 80 107 127 47
17 12 86 41 44 82 105 126 45
17 13 84 39 43 82 105 126 42
17 14 81 36 38 85 103 126 40
17 15 79 35 35 88 98 128 39
17 16 76 34 32 84 91 128 34
17 17 75 32 30 86 85 128 32
17 18 75 31 29 89 89 128 32
17 19 74 32 32 86 87 126 36
17 20 80 35 35 80 93 126 38
17 21 78 33 36 76 87 126 35
17 22 79 32 34 76 87 126 36
17 23 77 34 34 84 91 129 36
17 24 78 34 34 89 95 131 39
17 25 78 34 34 86 79 133 31
17 26 72 29 27 60 46 123 19
17 27 68 26 23 44 37 119 15
17 28 67 25 22 40 42 119 17
17 29 69 25 23 43 57 119 24
17 30 70 27 29 50 67 125 29
18 1 83 38 43 67 100 130 46
18 2 84 38 43 68 103 130 47
18 3 84 39 46 70 103 129 47
18 4 85 39 45 73 102 128 45
18 5 85 39 44 72 103 128 45
18 6 86 38 41 78 99 128 42
18 7 85 37 40 79 101 128 44
18 8 85 41 46 83 109 129 49
18 9 89 41 46 83 113 129 50
18 10 87 41 46 84 113 129 50
18 11 87 41 46 82 108 128 47
18 12 86 40 42 85 105 126 43
18 13 82 37 38 87 103 126 40
18 14 79 35 35 86 102 126 40
18 15 77 33 34 81 98 127 39
18 16 76 33 32 78 91 128 37
18 17 75 32 31 82 89 128 34
18 18 75 32 29 91 90 128 33
18 19 74 32 32 84 89 126 36
